num,index,date,open,high,low,close,volume,per,pbr,roe,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
51,51,20160321,25480,25580,25160,25340,9058500,9.35,1.25,14.08,0.998958335,1.029741755,1.033896281,1.027143048,1.000453926,0.99877419,1.000983271,1.002537806,25248,9730170,0.003643853,-0.069029626,24854,10702590,0.019554197,-0.153616087,24339,9978657.5,0.041127409,-0.092212555,,,,,,,,,0.000785546,0.009471192,-0.007103394,-0.004713276,-0.195922135
52,52,20160322,25340,25580,25240,25380,10143600,9.35,1.25,14.08,0.998172582,1.025234652,1.031919672,1.025820575,1.000535507,0.999236307,1.001179176,1.002819725,25312,10030810,0.002686473,0.011244356,25008,10635940,0.01487524,-0.04629022,24433,10048590,0.038759055,0.009455058,,,,,,,,,0,0.007880221,-0.005516154,0.001578532,0.119788044
53,53,20160323,25380,25580,25240,25580,9870900,9.35,1.25,14.08,0.99627729,1.018536799,1.028225679,1.022560509,0.999782222,0.99887357,1.000591049,1.002298488,25404,10536430,0.006928043,-0.063164658,25178,10706130,0.01596632,-0.078014184,24531,10172950,0.042762219,-0.029691486,,,,,,,,,0,0,-0.013291634,0.007880221,-0.026883947
54,54,20160324,25580,25800,25320,25640,10939750,9.35,1.25,14.08,0.993255373,1.010755468,1.022976465,1.017887881,1.000462694,0.999859462,1.00134163,1.003130376,25480,10255690,0.006279435,0.066700534,25292,10382405,0.013759291,0.053681686,24641,10368727.5,0.040542186,0.055071608,,,,,,,,,0,0.00624025,-0.012480499,0.002345582,0.108282933
55,55,20160325,25660,25800,25560,25760,7172300,9.35,1.25,14.08,0.992221412,1.00351938,1.017818294,1.013342909,1.000127012,0.999700743,1.000926868,1.00279071,25540,9437010,0.008613939,-0.239981732,25370,9763510,0.015372487,-0.265397383,24750,10393255,0.040808081,-0.309908205,,,,,,,,,0.000780031,0.001552795,-0.007763975,0.004680187,-0.344381727
56,56,20160328,25760,26000,25760,25880,6060900,9.35,1.25,14.08,0.987066913,0.991710951,1.007351912,1.003444529,1.000090715,0.99992744,1.000874576,1.002825549,25648,8837490,0.00904554,-0.314183099,25448,9283830,0.016975794,-0.347155215,24872,10252940,0.040527501,-0.408862239,,,,,,,,,0,0.004636785,-0.004636785,0.004658385,-0.154957266
57,57,20160329,25880,26000,25700,25800,8622700,9.35,1.25,14.08,1.003109406,1.003789242,1.021354213,1.018240823,1.001197083,1.001446837,1.002158938,1.0042096,25732,8533310,0.002642624,0.010475419,25522,9282060,0.010892563,-0.071035955,24984,9962375,0.032660903,-0.134473456,,,,,,,,,0,0.007751938,-0.003875969,-0.00309119,0.4226765
58,58,20160330,26200,26420,26040,26160,13380250,9.35,1.25,14.08,1.009361487,1.008429968,1.027786156,1.025048532,1.000833991,1.001580775,1.002089862,1.004230722,25848,9235180,0.012070566,0.448834782,25626,9885805,0.020838211,0.353481077,25095,10040457.5,0.042438733,0.332633498,,,,,,,,,0.015503876,0.009938838,-0.004587156,0.013953488,0.551747133
59,59,20160331,26120,26280,25960,26240,19130750,9.35,1.25,14.08,1.004723093,1.003000053,1.02354363,1.021005333,1.000924348,1.00200719,1.002379271,1.004612242,25968,10873380,0.01047443,0.759411517,25724,10564535,0.020059089,0.810846384,25187,10449517.5,0.041807282,0.830778311,23910.33333,10931872.5,0.097433467,0.749997542,,,,,-0.001529052,0.00152439,-0.010670732,0.003058104,0.429775228
60,60,20160401,25980,26180,25420,25580,13557800,9.35,1.25,14.08,1.005895355,1.005131964,1.026650136,1.024410884,1.000760897,1.002240708,1.002537044,1.004851979,25932,12150480,-0.013573963,0.115824231,25736,10793745,-0.006061548,0.256079331,25251,10623682.5,0.013029187,0.276186482,23935,10902053.33,0.068727804,0.243600594,,,,,-0.009908537,0.023455825,-0.006254887,-0.025152439,-0.291308495
